"Sp_name","SpCode","PhyloCode","BehPheno","Social_Status","Subfamily","Tribe","Genus","Subgenus","Latitude","Longitude","Altitude","YearMin","YearMax","Biome","NnestsMin","NestReused","HibSite","Iteroparity","CoFounding","NumQ","Guard","NumB1.offspring","RBOff","RBOffCells","PropB1.males","PropRB.males","NumWorkerBroods","NumB1.workers","WorkerOvDev","WorkersMated","QWDimorphHead","QWDimorphWing","Qlongevity","Lecty","Voltinism"
"Lasioglossum_calceatum","LEcal","Lascalceatum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","50.864077",-0.084331,82,2012,2012,"1","16",NA,"1",NA,"1",NA,"",NA,NA,NA,NA,NA,"1",2,NA,"",6.6,6.6,NA,2,NA
"Lasioglossum_calceatum","LEcal","Lascalceatum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","50.864077",-0.084331,82,2013,2013,"1","17",NA,"1",NA,"1",NA,"",NA,NA,NA,NA,NA,"1",3.5,NA,"",6,6,NA,2,NA
"Lasioglossum_calceatum","LEcal","Lascalceatum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","50.864077",-0.084331,82,2015,2015,"1","29",NA,"1",NA,"1",NA,"",NA,5.7,NA,NA,30,"1",3.1,NA,"",15.5,15.5,NA,2,NA
"Lasioglossum_calceatum","LEcal","Lascalceatum","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","50.572887",-3.824437,300,1992,1992,"1","50",NA,"1",1,"1",1,"",NA,NA,NA,NA,NA,"0",NA,NA,NA,0,NA,NA,2,1
"Lasioglossum_calceatum","LEcal","Lascalceatum","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","41.937658",140.775628,1167,1968,1969,"1","",NA,"1",NA,NA,1,"",NA,NA,NA,NA,50,"0",NA,NA,NA,0,NA,NA,2,NA
"Lasioglossum_calceatum","LEcal","Lascalceatum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","41.937658",140.775628,1167,1968,1969,"1","",NA,"1",1,NA,NA,"",NA,NA,NA,NA,NA,"1",NA,14.3,"16.3",4.5,NA,NA,2,NA
"Lasioglossum_calceatum","LEcal","Lascalceatum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","46.410077",10.828242,NA,1964,1967,"1","",NA,"1",1,NA,NA,"1",NA,NA,12,NA,50,"1",NA,NA,"",NA,NA,NA,NA,NA
"Lasioglossum_fulvicorne","LEful","Lasfulvicorn","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","",NA,NA,NA,NA,"1","",NA,"",NA,NA,1,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_baleicum","LEbal","","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","42.984165",141.382531,150,2000,2000,"1","62",NA,"",NA,"0",NA,"0",2.7,NA,NA,14,55,"1",1.7,28,"56.6",4.5,4.5,NA,NA,NA
"Lasioglossum_baleicum","LEbal","","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","42.984165",141.382531,150,2001,2001,"1","54",NA,"",NA,"0",NA,"0",2.9,NA,NA,18,28,"1",1.7,28,"56.6",4.5,4.5,NA,NA,NA
"Lasioglossum_baleicum","LEbal","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","43.699931",144.916808,280,2000,2000,"1","13",NA,"",NA,"0",1,"0",4.4,NA,NA,NA,52,"0",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_baleicum","LEbal","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","43.699931",144.916808,280,2001,2001,"1","32",NA,"",NA,"1",1,"0",2.4,NA,NA,NA,28,"0",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_duplex","LEdup","Lasduplex","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","43.077992",141.338953,150,1957,1968,"1","200",NA,"1",NA,"1",NA,"1",5.1,13.5,NA,4.6,56,"1",3.6,20.2,"8.5",6.7,NA,NA,NA,NA
"Lasioglossum_duplex","LEdup","Lasduplex","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","43.077992",141.338953,150,2001,NA,"1","70",NA,"1",NA,"1",NA,"1",5.7,20.6,NA,26,46,"1",4.1,33,"58.8",4.5,NA,NA,NA,NA
"Lasioglossum_duplex","LEdup","Lasduplex","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","41.917277",140.253945,20,2001,NA,"1","62",NA,"1",NA,"1",NA,"",3.7,9.5,NA,5,60,"1",1.3,17.6,"59.5",8,NA,NA,NA,NA
"Lasioglossum_fratellum","LEfra","","1,3",NA,"Halictinae","Halictini","Lasioglossum","Evylaeus","50.572887",-3.824437,300,1992,NA,"1","92",NA,"",1,"1",NA,"",NA,NA,NA,NA,58.3,"0",NA,NA,"",NA,NA,NA,2,1
"Lasioglossum_fratellum","LEfra","","1,3",NA,"Halictinae","Halictini","Lasioglossum","Evylaeus","53.115673",8.138457,8,1989,1992,"1","",NA,"1",1,"1",NA,"1",4.8,NA,NA,NA,NA,"0",0,NA,"",NA,NA,NA,NA,1
"Lasioglossum_villosulum","LEvil","Lasvillosulu","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","50.572887",-3.824437,300,1992,NA,"1","5",NA,"",NA,NA,1,"",NA,NA,NA,NA,NA,"0",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_apristum","LEapr","Lasapristum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","35.369866",133.526961,900,1987,NA,"1","16",NA,"1,2",NA,"0",NA,"",6.9,NA,15.3,5.5,NA,"1",6.5,38.9,"0",6.2,NA,2,NA,NA
"Lasioglossum_apristum","LEapr","Lasapristum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","35.369866",133.526961,900,1987,198,"1","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"1",NA,8.7,"6.5",7.7,NA,NA,NA,NA
"Lasioglossum_apristum","LEapr","Lasapristum","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","43.077992",141.338953,150,1969,NA,"1","",NA,"",NA,NA,1,"",NA,NA,NA,NA,50,"0",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_cinctipes","LEcin","Lascinctipes","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","45.802563",-60.704492,100,1985,1987,"1","12",NA,"",NA,NA,NA,"",2.3,0,NA,NA,27.3,"1",NA,NA,"",6.9,NA,NA,NA,NA
"Lasioglossum_cinctipes","LEcin","Lascinctipes","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","45.05812",-63.502843,NA,1929,1932,"1","",NA,"2",NA,"1",NA,"",NA,NA,NA,NA,NA,"1",NA,NA,"",NA,NA,NA,2,NA
"Lasioglossum_comagenense","LEcom","Lascomagenen","1,3",NA,"Halictinae","Halictini","Lasioglossum","Evylaeus","44.017187",-73.915894,668,1987,1989,"1","21",NA,"2",NA,"1",3.5,"0",4.8,NA,NA,NA,56.5,"0",NA,NA,"",NA,NA,NA,2,1
"Lasioglossum_comagenense","LEcom","Lascomagenen","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","45.802563",-60.704492,100,1987,1987,"1","",NA,"2",NA,"0",1,"",2.9,NA,NA,NA,30,"0",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_comagenense","LEcom","Lascomagenen","3","Semisocial","Halictinae","Halictini","Lasioglossum","Evylaeus","45.802563",-60.704492,100,1987,1987,"1","50",NA,"2",NA,"1",3,"",4.8,NA,NA,NA,30,"0",NA,NA,"",NA,NA,NA,NA,1
"Lasioglossum_cooleyi","LEcoo","","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","49.262737",-123.246828,100,1988,1988,"1","14",NA,"",NA,"1",1.3,"",NA,NA,NA,NA,41,"1",1.3,39.7,"14.5",5.05,7.3,2,NA,NA
"Lasioglossum_laticeps","LElat","Laslaticeps","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","50.733641",-2.903204,10,1980,1980,"1","",NA,"2",NA,"1",3,"1",5.4,11.87,NA,23.8,27,"1",4.1,53,"18",4.5,7.3,2,NA,NA
"Lasioglossum_lineare","LElin","Laslineare","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","48.863969",2.348236,35,1966,1967,"1","",1,"1",NA,"1",NA,"1",NA,NA,27.5,1,50,"1",4.1,13.6,"0.5",15,13,NA,NA,NA
"Lasioglossum_lineare","LElin","Laslineare","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","44.937748",1.027045,200,1966,1977,"1","",1,"1",NA,"1",NA,"0",NA,30,NA,1.5,NA,"1",6.3,3.2,"0.5",21,21.2,NA,NA,NA
"Lasioglossum_lineare","LElin","Laslineare","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","44.937748",1.027045,200,1966,1977,"1","",1,"1",NA,"1",NA,"0",NA,30,NA,1.5,NA,"1",6.3,3.2,"0.5",21,21.2,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","36.475774",23.109605,200,2000,2000,"1","52",NA,"2",NA,"1",1.1,"1",NA,NA,NA,0,20,"3",NA,NA,"",NA,NA,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","36.475774",23.109605,200,1989,1998,"1","6",NA,"2",NA,"1",NA,"1",NA,NA,NA,1,NA,"3",4,67,"60",14.3,NA,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","45.159895",0.823083,200,1985,1985,"1","",NA,"2",NA,"0",NA,"1",NA,NA,NA,2,NA,"2.5",5.1,30.1,"0",17.5,17.5,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","36.467626",-5.14764,100,1985,1985,"1","",NA,"2",NA,"0",NA,"1",NA,NA,NA,1.5,NA,"2",6.5,17.6,"0",18.1,18.1,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","43.305544",5.422984,50,1985,1985,"1","",NA,"2",NA,"0",NA,"1",NA,NA,NA,1.3,NA,"3",6.8,6.8,"0",18,18,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","50.669469",-1.285361,30,1985,1985,"1","",NA,"",NA,"0",NA,"1",NA,NA,NA,2.3,NA,"1",6.7,3.4,"0.8",14.3,14.3,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","49.781873",9.969139,250,1998,1998,"1","75",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"2",5.8,47,"0",NA,NA,NA,NA,NA
"Lasioglossum_malachurum","LEmal","Lasmalachuru","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","48.529018",9.037838,350,2002,2002,"1","18",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"1",4.7,NA,"",NA,NA,NA,NA,NA
"Lasioglossum_marginatum","LEmar","Lasmarginatu","5","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","45.159895",0.823083,200,1985,1985,"1","",NA,"",NA,"0",NA,"0",NA,600,NA,0,NA,"5",3.5,0,"0",0.1,0.1,NA,NA,NA
"Lasioglossum_nigripes","LEnig","Lasnigripes","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","43.305544",5.422984,50,1966,1967,"1","",NA,"2",NA,"1",NA,"0",NA,NA,NA,4,NA,"1",7.2,59,"1",10.3,NA,NA,2,NA
"Lasioglossum_pauxillum","LEpau","Laspauxillum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","48.328581",16.047054,200,1985,1985,"1","",0,"2",NA,"0",NA,"1",NA,NA,NA,5,NA,"2",4,15,"1",14.5,NA,2,NA,NA
"Lasioglossum_villosulum","LEvil","Lasvillosulu","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","48.84697",2.356242,35,1982,1982,"1","",NA,"2",0,"1",1,"0",0,NA,NA,17,NA,"0",0,NA,NA,0,7.4,2,NA,2
"Lasioglossum_villosulum","LEvil","Lasvillosulu","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","48.84697",2.356242,35,1985,1986,"1","",NA,"",NA,NA,1,"",0,NA,NA,22,45,"0",0,NA,NA,0,NA,NA,NA,2
"Lasioglossum_oenotherae","LEoen","Lasoenothera","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","43.69448",-79.432787,75,1968,1968,"1","5",NA,"1",NA,"0",1,"",13,NA,NA,NA,NA,"0",NA,NA,NA,0,NA,NA,1,1
"Lasioglossum_subtropicum","LEsub","Lassubtropic","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","24.344214",123.831336,150,NA,NA,"2","",NA,"",NA,NA,NA,"1",NA,NA,NA,NA,NA,"",NA,NA,"",18.2,NA,NA,NA,NA
"Lasioglossum_lusorium","LElus","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","41.998075",-111.93387,1300,1968,1968,"1","",NA,"1,2",NA,"0",1,"",0,NA,NA,50,NA,"",NA,NA,NA,0,NA,NA,1,2
"Lasioglossum_lusorium","LElus","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","41.998075",-111.93387,1300,1969,1969,"1","",NA,"1,2",NA,"0",1,"",0,NA,NA,50,NA,"",NA,NA,NA,0,NA,NA,1,1
"Lasioglossum_lusorium","LElus","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","41.998075",-111.93387,1300,1970,1970,"1","",NA,"1,2",NA,"0",1,"",0,NA,NA,50,NA,"",NA,NA,NA,0,NA,NA,1,1
"Lasioglossum_lusorium","LElus","","1,2","Communal","Halictinae","Halictini","Lasioglossum","Evylaeus","41.998075",-111.93387,1300,1973,1973,"1","",NA,"1,2",NA,"1",NA,"",0,NA,NA,50,NA,"",NA,NA,NA,0,NA,NA,1,2
"Lasioglossum_occidens","LLocc","","1","Solitary","Halictinae","Halictini","Lasioglossum","Leuchalictus","33.105601",139.800283,100,1987,1990,"1,2","",NA,"",NA,NA,1,"",NA,NA,NA,NA,29.3,"",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_mutilum","LLmut","","1","Solitary","Halictinae","Halictini","Lasioglossum","Leuchalictus","33.105601",139.800283,100,1987,1990,"1,2","",NA,"",NA,NA,1,"",NA,NA,NA,NA,45.7,"",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_villosulum","LEvil","Lasvillosulu","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","33.105601",139.800283,100,1987,1990,"1,2","",NA,"",NA,NA,1,"",NA,NA,NA,NA,2,"",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_kuroshio","LEkur","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","33.105601",139.800283,100,1987,1990,"1,2","",NA,"",NA,NA,1,"",NA,NA,NA,NA,12.1,"",NA,NA,NA,0,NA,NA,NA,2
"Lasioglossum_simplicior","LEsim","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","33.105601",139.800283,100,1987,1990,"1,2","",NA,"",NA,NA,1,"",NA,NA,NA,NA,14.1,"",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_japonicum ","LEjap","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","33.105601",139.800283,100,1987,1990,"1,2","",NA,"",NA,NA,1,"",NA,NA,NA,NA,40.7,"",NA,NA,NA,0,NA,NA,NA,2
"Lasioglossum_quadrinotatulum","Lequa","","1","Solitary","Halictinae","Halictini","Lasioglossum","Evylaeus","56.984068",51.118171,85,1982,1984,"1","4",NA,"",NA,NA,1,"",NA,NA,NA,NA,NA,"0",NA,NA,NA,0,NA,NA,2,1
"Lasioglossum_politum","LEpol","Laspolitum","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","43.181252",5.602636,30,1967,1967,"1","?",NA,"",NA,"0",NA,"",7,NA,NA,NA,NA,"",7,9,"9.5",13,13,NA,NA,NA
"Lasioglossum_glabriusculum ","LEpol","","4","Eusocial","Halictinae","Halictini","Lasioglossum","Evylaeus","43.181252",5.602636,30,1967,1967,"1","?",NA,"1",NA,"1",NA,"",7,NA,NA,NA,NA,"",7,NA,"",12.5,12.5,NA,NA,NA
"Lasioglossum_affinis","LSaff","","4","Eusocial","Halictinae","Halictini","Lasioglossum","Sphecodogastra","39.701488",141.170705,NA,1958,1976,"","12",1,"",NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"",5.8,NA,NA,2,NA
"Lasioglossum_nupricola","LSnup","","1","Solitary","Halictinae","Halictini","Lasioglossum","Sphecodogastra","40.6564",140.2964,1400,1960,1965,"1","5",NA,"1",1,NA,1,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,2,1
"Lasioglossum_asperithorax","LCasp","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"1",6,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_cognatum","LCcog","","1,2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_dimorphum","LCdim","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"1",7,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,1
"Lasioglossum_dimorphum","LCdim","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"",NA,NA,NA,NA,NA,"0",NA,NA,NA,0,NA,NA,NA,2
"Lasioglossum_erythrurum","LCery","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","-37.911243",145.133424,100,1985,1985,"1","8",NA,"",NA,"1",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_hemichalceum","LChem","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","-38.181967",141.495581,50,NA,NA,"1,2","52",1,"",NA,"1",6.1,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,2
"Lasioglossum_mesembryanthemi","LCmes","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"1",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_orbatum","LCorb","Lasorbatum","1,2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","-28.635754,",151.968321,NA,NA,NA,"","",NA,"",NA,"1",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_platycephalum","LCpla","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"1",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,2
"Lasioglossum_platycephalum","LCpla","","1,2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"1",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_platycephalum","LCpla","","1","Solitary","Halictinae","Halictini","Lasioglossum","Chilalictus","-38.181967",141.495581,50,1992,1992,"1,2","22",1,"",NA,NA,1,"",12,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_victoriellum","LCvic","","1","Solitary","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,NA,1,"",1,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_Chilalictus sp.","LCChi","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_lanarium","LClan","Laslanarium","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"3",NA,"1",9,"1",0,NA,NA,50,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_inclinans","LCcog","","2","Communal","Halictinae","Halictini","Lasioglossum","Chilalictus","",NA,NA,NA,NA,"","",NA,"1",NA,"1",NA,"0",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,2
"Lasioglossum_fulviventris","LCful","","1","Solitary","Halictinae","Halictini","Lasioglossum","Parasphecodes","",NA,NA,NA,NA,"","",NA,"3",NA,NA,1,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,2,2
"Lasioglossum_spp.","LPspp","","1","Solitary","Halictinae","Halictini","Lasioglossum","Parasphecodes","",NA,NA,NA,NA,"","",NA,"",NA,NA,1,"",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
"Lasioglossum_niveifrons","LHniv","","2","Communal","Halictinae","Halictini","Lasioglossum","Homalictus","",NA,NA,NA,NA,"","",NA,"",NA,"1",NA,"1",NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA
